n,b_per_K,dT_K,pressure_Torr,R_total_percent
0.5,0.0,20.0,0.002817994345303258,2.4427620868927136
0.5,0.0,20.0,0.002966182002597652,2.422077762430619
0.5,0.0,20.0,0.003122162287940079,2.400694226117417
0.5,0.0,20.0,0.003286344986146649,2.378604929116057
0.5,0.0,20.0,0.0034591614310660406,2.355804797158201
0.5,0.0,20.0,0.0036410656387615443,2.3322903502616565
0.5,0.0,20.0,0.0038325355002829073,2.3080598208388814
0.5,0.0,20.0,0.004034074037161489,2.283113268909287
0.5,0.0,20.0,0.004246210722927182,2.2574526930355443
0.5,0.0,20.0,0.004469502874118922,2.2310821355244093
0.5,0.0,20.0,0.0047045371144431225,2.204007780368755
0.5,0.0,20.0,0.0049519309159267244,2.1762380423638428
0.5,0.0,20.0,0.005212334221113589,2.1477836458098976
0.5,0.0,20.0,0.005486431150566126,2.1186576912168853
0.5,0.0,20.0,0.005774941800157897,2.0888757084620346
0.5,0.0,20.0,0.006078624132879112,2.0584556949134525
0.5,0.0,20.0,0.006398275970124932,2.0274181371310096
0.5,0.0,20.0,0.0067347370876981874,1.9957860148849704
0.5,0.0,20.0,0.00708889142203283,1.9635847863973321
0.5,0.0,20.0,0.007461669392434449,1.9308423539068809
0.5,0.0,20.0,0.007854050345438509,1.8975890088866798
0.5,0.0,20.0,0.008267065127708247,1.8638573564984329
0.5,0.0,20.0,0.008701798794231424,1.8296822191478102
0.5,0.0,20.0,0.009159393458931004,1.7951005193036718
0.5,0.0,20.0,0.009641051295178548,1.7601511420569427
0.5,0.0,20.0,0.010148037694093356,1.7248747782138585
0.5,0.0,20.0,0.010681684588924543,1.6893137490372023
0.5,0.0,20.0,0.011243393954249776,1.6535118140597271
0.5,0.0,20.0,0.011834641489183688,1.6175139636893432
0.5,0.0,20.0,0.012456980494272218,1.5813661985964789
0.5,0.0,20.0,0.013112045952258273,1.545115298115407
0.5,0.0,20.0,0.013801558823439189,1.5088085800938789
0.5,0.0,20.0,0.014527330566900996,1.4724936547867884
0.5,0.0,20.0,0.015291267899507171,1.4362181755006365
0.5,0.0,20.0,0.01609537780514473,1.4000295887592218
0.5,0.0,20.0,0.016941772807387345,1.3639748867687151
0.5,0.0,20.0,0.01783267651942814,1.328100364916951
0.5,0.0,20.0,0.018770429485862314,1.2924513869467358
0.5,0.0,20.0,0.019757495331666965,1.2570721602974233
0.5,0.0,20.0,0.020796467234532736,1.222005523922154
0.5,0.0,20.0,0.021890074737550433,1.1872927506563435
0.5,0.0,20.0,0.023041190920151493,1.1529733659549457
0.5,0.0,20.0,0.024252839946140786,1.1190849845255535
0.5,0.0,20.0,0.025528205008652223,1.0856631660792093
0.5,0.0,20.0,0.02687063669289897,1.0527412911044642
0.5,0.0,20.0,0.028283661778689566,1.0203504572495081
0.5,0.0,20.0,0.02977099250583475,0.9885193965814665
0.5,0.0,20.0,0.03133653632678728,0.9572744136886913
0.5,0.0,20.0,0.03298440617213562,0.9266393443033927
